	shannon
S020.1	4.61943436426
S020.2	5.37895826566
S038.1	4.81313434225
S038.2	4.33692068486
S064.1	3.33677333782
S064.2	2.71937906476
S083.1	5.45333774945
S083.2	5.52249150044
S016.1	5.17952369996
S016.2	5.99375169116
S037.1	4.93348551102
S037.2	5.13718911314
S066.1	3.17457015786
S066.2	3.87387144375
S073.1	6.44134135357
S073.2	6.14254309737
S021.1	4.33334887066
S021.2	4.51450947099
S045.1	4.02595837387
S045.2	4.31471891575
S056.1	4.1775145272
S056.2	4.44690103045
S080.1	5.17373827686
S080.2	4.25918773698
S023.1	5.81190719739
S023.2	5.39896152748
S047.1	2.987807081
S047.2	3.76481079141
S057.1	3.33988419292
S057.2	5.17623229889
S079.1	4.84086501577
S079.2	4.45701055023
S017.1	2.16760624386
S017.2	4.78725894583
S063.1	4.71152223209
S044.1	5.33846051973
S044.2	5.22411956515
S063.2	4.22123292919
S071.1	2.21262419866
S071.2	3.60215701367
S019.1	5.34866698705
S019.2	4.3988717679
S039.1	3.83026785088
S039.2	3.63775588858
S061.1	4.58582812495
S061.2	4.24403242204
S072.1	4.03289358423
S072.2	4.68855945076
S032.1	5.72953782336
S032.2	5.09672267012
S036.1	3.90236971332
S036.2	4.96813253575
S052.1	4.56913783699
S052.2	4.89849873588
S085.1	6.22491906747
S085.2	5.65017209356
S031.1	6.36216842567
S031.2	5.55403325894
S035.1	4.18972012037
S035.2	4.60245312213
S051.1	5.42335811091
S051.2	5.66316643216
S084.1	4.71955697491
S084.2	4.77012212853
S028.1	5.94323403126
S028.2	5.30329594798
S034.1	5.03020435527
S034.2	1.55938048513
S053.1	5.67186273169
S053.2	5.93369415224
S077.1	6.02473703051
S077.2	5.92777758242
S027.1	5.159338871
S027.2	4.2482702026
S041.1	3.92424998503
S041.2	1.74391877349
S065.1	5.66134474046
S065.2	4.70857197955
S074.1	5.84407883222
S074.2	5.30169191753
S024.1	2.57232444728
S024.2	4.87233705388
S046.1	4.74195550455
S046.2	4.6204387971
S058.1	5.06296098789
S058.2	5.66710420779
S081.1	5.29228350979
S081.2	5.91342379241
S025.1	5.70162177849
S025.2	5.62307172121
S049.1	5.17229592418
S049.2	5.01665992298
S059.1	5.31025779873
S059.2	4.82249803751
S082.1	5.68719110917
S082.2	5.4505544406
S022.1	2.90493612805
S022.2	5.85978044798
S048.1	4.46867213697
S048.2	4.1650768931
S060.1	5.80443007685
S060.2	4.75944044276
S078.1	4.56764719697
S078.2	2.84578068546
S026.1	4.2926154342
S026.2	4.58232303608
S040.1	4.18364723344
S040.2	4.0751669642
S050.1	4.72122037275
S050.2	5.13316033702
S086.1	6.14711710151
S086.2	5.33733560416
S029.1	5.53440058148
S029.2	5.12842043644
S033.1	5.38726737798
S033.2	5.00868704092
S054.1	4.91629802843
S054.2	5.74907201951
S076.1	6.08639066596
S076.2	6.15784314566
S018.1	5.06815713724
S018.2	5.65338972688
S062.1	5.77155534658
S062.2	5.45406486421
S070.1	5.80964336442
S070.2	4.79597639639
S043.1	5.40508971747
S043.2	4.57001909905
S030.1	4.94179519993
S030.2	4.89676253568
S042.1	4.88868355388
S042.2	5.49588108126
S055.1	2.4529322201
S055.2	6.23213453436
S075.1	6.27331332604
S075.2	5.83899790535
