	shannon
S020.1	4.81352064184
S020.2	4.85451921045
S016.1	5.84627632543
S016.2	5.8902428556
S021.1	3.55167140251
S021.2	3.53354191499
S023.1	4.94012026835
S023.2	4.89520637564
S017.1	4.80441315249
S017.2	5.09964142775
S019.1	4.78338215567
S019.2	4.45352931459
S032.1	4.88308037956
S032.2	4.72474044523
S031.1	5.1077057767
S031.2	4.35869171372
S028.1	4.55956754605
S028.2	4.71604810738
S027.1	5.1835131977
S027.2	3.9253115617
S024.1	2.58290549687
S024.2	4.30126031308
S025.1	5.62425359528
S025.2	5.54948300431
S022.1	5.04754200713
S022.2	4.84861090844
S026.1	3.79595393098
S026.2	4.25367601941
S029.1	4.78034477802
S029.2	4.44365425512
S018.1	5.02328966742
S018.2	5.04222065799
S030.1	5.88344907745
S030.2	5.40175112864
S005.1	4.44411835078
S006.1	4.5999851672
S013.1	3.83383204695
S014.1	3.51378412158
S007.1	2.05340777321
S007.2	1.93931151821
S008.1	1.90485785085
S008.2	1.88624853883
G001.1	5.2785588815
G001.2	6.68885243069
Sed1.1	6.36301838696
Sed1.2	6.63371845288
Sed2.1	6.25449629138
Sed2.2	3.36304487748
Sed3.1	5.31086976451
Sed3.2	5.26280968392
Sed4.1	5.44255847489
Sed4.2	5.5449061612
Soil1.1	6.67976311672
Soil1.2	6.7075955129
Soil2.1	7.68976930402
Soil2.2	7.68236411435
Soil3.1	6.70160282052
Soil3.2	7.49109842224
Soil5.1	7.66170491974
Soil5.2	7.54653858963
Soil6.1	6.16138506652
Soil6.2	4.26977599106
Soil7.1	7.62470032391
Soil7.2	6.97526446807
Soil8.1	5.3738819939
Soil8.2	5.3099007941
